gene	eml.me2	eml.me3	epo.me2	epo.me3	name
13435	0.0589043362444446	-0.0572076751319869	-0.090087202752961	-0.112065540052259	Dnmt3a
171266	-0.522481292827864	-0.313374405425275	-0.360823175595709	-0.240597656873448	V1rg10
236604	0.941751433428126	0.990747868554	0.92299672681474	0.950744984413356	4933439C20Rik
77777	1.28097266431956	0.93854305828052	0.991081236087937	0.633466291272591	A430108B07Rik
14128	-0.0346729855300725	-0.200959978581734	-0.102435831987108	-0.159085104778239	Fcer2a
20363	1.2783996764114	0.778727063304637	0.570250881409263	0.0343034267344955	Sepp1
75863	0.319529499576689	-0.0987134372830467	0.27620566959557	-0.132580621109288	Clec4g
114673	0.335732011282248	0.173725014862107	0.30306577286222	0.204895759285415	4930433N12Rik
170786	-0.0899617584776904	-0.180658331988503	-0.0525082356871328	-0.212216361862065	Cd209a
78887	-0.195446250644133	0.0319388069040061	-0.209734453111543	0.201900711922171	2310047I15Rik
74203	1.42404973017239	1.14711787176461	1.47869197617763	1.16774126643938	Eif4enif1
18976	-0.0420025648932600	-0.0187241561312637	0.0693536322564681	-0.048762426784436	Pomc1
278786	1.61129349982869	1.43260787970275	1.5361538063087	1.37741946094546	LOC278786
13494	1.53097393805857	1.20500417603485	1.40572066985145	1.22002535502036	Drg1
56218	1.73132981157319	1.54370296907364	1.55619388946816	1.45745531387631	Zfp278
170780	-0.101134268363685	-0.0619155948609535	0.00395383842631942	0.0406145421306114	Cd209e
18108	1.32569738522513	0.894707198124251	1.39074783499065	0.869410096641239	Nmt2
14419	0.0165171094092156	0.0456303218258363	-0.0152051939652442	-0.0445587528372848	Gal
216505	1.57837906133913	1.16337257810348	1.36489631136533	0.845427133497669	1500004A08Rik
170779	-0.172581513589353	-0.243168765537753	-0.137620735024747	-0.229312002549645	Cd209d
217378	0.97896463074037	0.705550855262137	1.21043858771197	0.897206644211975	C330021A05Rik
67667	1.34210215917237	1.20731282794588	1.46065704046401	1.26773483067643	4930562C03Rik
320333	-0.746723067579581	-0.698192687516832	-0.576708555303434	-0.802860519176202	D830030K20Rik
258859	-0.204024517888624	-0.297566011814234	-0.168551999803783	-0.217514830173599	Olfr161
69165	-0.161614559718179	-0.131943489614156	-0.0707424019795705	-0.132234968304969	Cd209b
99035	-0.0978915380261954	-0.063956248148315	-0.128286348091784	-0.0417621990882459	Thedc1
104111	-0.0109574662302999	0.265844367682618	0.0123284854685473	0.172347355727457	Adcy3
52855	1.24402609622092	0.532781168460332	0.772681648519496	0.0613273617664579	Lair1
215748	1.40741853126904	1.33022985392215	1.36048241495845	1.13868228161038	Magi1
170776	-0.155497915770093	-0.196167994913175	-0.165886758047235	-0.201431179896167	Cd209c
16886	1.52903071192775	1.31638192922858	1.42815202477430	1.17897282009628	Limk2
244672	1.23170139771294	1.21920170963493	1.29428800700011	1.20891358195905	Cwf19l2
12916	0.00557674372713004	-0.0294402086974899	0.257790558565552	-0.0207459465006555	Crem
57776	0.179260339132151	-0.0258729440044712	0.135934353438192	-0.0251548313502857	Ttyh1
193670	1.46240873935939	1.40484773167746	1.42823700914302	1.31773080400018	1700022N24Rik
12571	1.43144642919420	1.33368828949079	1.27753644389235	1.12748261730920	Cdk6
24001	-0.0457834438222616	-0.0801615294567656	0.0673251507883992	-0.0188444537550488	Tiam2
52036	1.50770866092963	1.29641945291751	1.52772239990938	1.28386053483926	D19Ertd703e
14600	0.314279062433742	0.176607322875772	-0.00115053334952801	-0.0603940606977971	Ghr
237625	0.234193828695769	-0.0899454936526707	0.173497242726797	-0.114646593784307	Pla2g3
58804	0.307549924871021	-0.000210816936458878	0.171067939398726	-0.0829055930845709	Cdc42ep5
71745	1.14156192459101	1.07313913746242	1.22928769756886	1.07131941842181	Cul2
54483	0.781700858578472	-0.0434118229472184	-0.0524429139718976	-0.0810693950700692	Mefv
64707	1.41142408234027	1.11856850035171	1.39738788567503	1.15648247922877	Suv39h2
74120	1.80634323805934	1.46591599258337	1.62918849334737	1.43649532401581	Zfp263
14569	1.56605735663644	1.27272596621270	1.51294514701551	1.23550512998163	Gdi3
29856	1.53197476001432	1.17220969544091	1.33814474635482	0.970850330765016	Smtn
30942	-0.0860732088205887	-0.0442335710918871	-0.0486151698800202	-0.0273451582934076	Hnf4g
16973	0.845834215335988	0.377876272898214	0.155539286187014	0.0556798327733409	Lrp5
72056	1.34645807709945	1.03245343100896	1.37233916586486	1.08985361032751	1810055G02Rik
18312	0.0124071937683308	-0.147889431561262	-0.0400032247768449	-0.149826520290756	Olfr15
68010	0.85116813586551	0.569673706332475	1.14727529231489	0.914903140522374	Bambi
142688	0.308842432038685	0.218432146238509	0.00275612834383536	-0.00558959712903165	Asb13
224481	1.31841808772368	1.07000469259328	1.44113334095714	1.1241189613976	Tfb1m
213027	1.18580440178673	0.968102115295381	1.23194602122747	0.920446903054827	B130050I23Rik
68152	1.52505603721209	1.11167416366674	1.3852735286512	1.01960021166138	5830415L20Rik
74522	0.255666379125639	-0.0238003630210071	0.759266407333543	-0.0207459465006555	Zcwcc1
74763	1.34384522380498	1.20620144267431	1.40830521470501	1.16572613539772	1200013P24Rik
225888	1.08721517889131	0.922520508602036	1.15621668138488	0.945995577983053	Suv420h1
17086	-0.0370711565795692	-0.132693477706674	-0.162533785075711	-0.106765727045882	Ncr1
73072	1.71070022862421	1.13885682478031	1.48711769040910	1.03263084673395	LOC73072
17977	-0.00103215495362634	-0.0274281478648121	-0.0349726400074931	-0.0229306708093702	Ncoa1
