Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
AFFX-BioB-5_at	243.1	241.9	353.1	352.8	P	P	P	P
AFFX-BioB-M_at	348.4	208.4	319.6	433.2	P	P	P	P
AFFX-BioB-3_at	229.6	123.6	285.9	319.1	P	P	P	P
AFFX-BioC-5_at	554.2	491.1	756.9	824.5	P	P	P	P
AFFX-BioC-3_at	572.5	357.4	765.1	713.5	P	P	P	P
AFFX-BioDn-5_at	1391.7	1094.1	1621.5	2178.8	P	P	P	P
AFFX-BioDn-3_at	3809.3	3051.6	4196.2	3887.1	P	P	P	P
AFFX-CreX-5_at	9688.7	7055.9	10577.8	12702.4	P	P	P	P
AFFX-CreX-3_at	11785.2	9072.5	13439.6	14782.5	P	P	P	P
AFFX-DapX-5_at	980	617.8	1170.9	1832.4	P	P	P	P
AFFX-DapX-M_at	1424.9	985	1529.9	2543.9	P	P	P	P
AFFX-DapX-3_at	1426.6	1453.6	1612.2	3351.5	P	P	P	P
AFFX-LysX-5_at	101.3	76.9	110.3	221.3	P	P	P	P
AFFX-LysX-M_at	198.2	131	196.8	277.2	A	A	A	P
AFFX-LysX-3_at	353.8	352.5	475.1	811.6	P	P	P	P
AFFX-PheX-5_at	185.1	126.2	223.2	427.5	P	P	P	P
AFFX-PheX-M_at	180.7	93.9	204.7	485.8	P	P	P	P
AFFX-PheX-3_at	223.8	173.3	274.2	384.5	P	P	P	P
AFFX-ThrX-5_at	285.7	142.5	206.4	490.4	P	P	P	P
AFFX-ThrX-M_at	379.2	202.5	365.9	573.5	P	P	P	P
AFFX-ThrX-3_at	483.8	304.8	503.2	1042	P	P	P	P
AFFX-TrpnX-5_at	5.8	2.4	6.7	0.4	A	A	A	A
AFFX-TrpnX-M_at	3.3	2.8	2.3	1.5	A	A	A	A
AFFX-TrpnX-3_at	1.9	14.7	16.1	1.7	A	A	A	A
AFFX-r2-Ec-bioB-5_at	282.5	183.9	291	271.1	P	P	P	P
AFFX-r2-Ec-bioB-M_at	354.3	273.5	417.8	477.1	P	P	P	P
AFFX-r2-Ec-bioB-3_at	339.2	241.4	501	450.1	P	P	P	P
AFFX-r2-Ec-bioC-5_at	701.8	641	979.4	1109.3	P	P	P	P
AFFX-r2-Ec-bioC-3_at	964.8	735.9	1291.5	1243.1	P	P	P	P
AFFX-r2-Ec-bioD-5_at	4245.5	3194.8	5191.8	5282.3	P	P	P	P
AFFX-r2-Ec-bioD-3_at	4511.5	3644	5210	5466.7	P	P	P	P
AFFX-r2-P1-cre-5_at	11360.6	10334.5	13278.5	14404.8	P	P	P	P
AFFX-r2-P1-cre-3_at	15451.6	13064.1	15848.4	17965.5	P	P	P	P
AFFX-r2-Bs-dap-5_at	860.5	681.2	1000.7	1839.2	P	P	P	P
AFFX-r2-Bs-dap-M_at	1320.3	895.7	1454.1	2669.4	P	P	P	P
AFFX-r2-Bs-dap-3_at	1907.3	1585	2089	4341	P	P	P	P
AFFX-r2-Bs-lys-5_at	170.2	84.6	154.4	267	P	P	P	P
AFFX-r2-Bs-lys-M_at	128.7	96.5	133	304.8	P	P	P	P
AFFX-r2-Bs-lys-3_at	280.2	123	245.6	288.2	P	P	P	P
AFFX-r2-Bs-phe-5_at	215.7	155.9	279.1	491	P	P	P	P
AFFX-r2-Bs-phe-M_at	356.2	183.5	276.6	492	P	P	P	P
AFFX-r2-Bs-phe-3_at	253.5	254.6	304.7	666.3	P	P	P	P
AFFX-r2-Bs-thr-5_s_at	412.9	227	364.2	544.4	P	P	P	P
AFFX-r2-Bs-thr-M_s_at	812.3	436.6	723.8	773.8	P	P	P	P
AFFX-r2-Bs-thr-3_s_at	511.2	349	629.5	884.8	P	P	P	P
AFFX-r2-TagA_at	3.6	3.2	10	20.8	A	A	A	A
AFFX-r2-TagB_at	38.9	26.9	49.8	11.5	A	A	A	A
AFFX-r2-TagC_at	51.1	20.1	47.9	15.4	A	A	A	A
AFFX-r2-TagD_at	38.5	5.2	14.1	22.7	A	A	A	A
AFFX-r2-TagE_at	54.7	4.9	1.5	3.1	A	A	A	A
AFFX-r2-TagF_at	2.6	9	21	4.1	A	A	A	A
AFFX-r2-TagG_at	30.5	6.3	54.6	5	A	A	A	A
AFFX-r2-TagH_at	15.4	27.9	8.7	4	A	A	A	A
AFFX-r2-TagJ-3_at	4.4	5.9	4.9	1.9	A	A	A	A
AFFX-r2-TagJ-5_at	24.3	14	31.4	9.1	A	A	P	A
AFFX-r2-TagO-3_at	60.7	30.3	44.7	35.1	A	A	A	A
AFFX-r2-TagO-5_at	7.2	19.4	18.3	10.6	A	A	A	A
AFFX-r2-TagQ-3_at	95.3	52.1	84.1	26.8	P	P	P	P
AFFX-r2-TagQ-5_at	14.7	48.8	37.8	14.8	A	A	A	A
AFFX-r2-TagIN-3_at	9.3	3	12.4	27.4	A	A	A	A
AFFX-r2-TagIN-M_at	14.5	12.2	6.9	7.7	A	A	A	A
AFFX-r2-TagIN-5_at	112.2	28.9	96.2	28.3	A	A	A	A
AFFX-r2-Dros-GAPDH-5_a_at	119.1	270.6	207.2	292.1	P	P	P	P
AFFX-r2-Dros-GAPDH-M_a_at	776	755.5	1248.9	1411.8	P	P	P	P
AFFX-r2-Dros-GAPDH-3_a_at	830.3	1058.6	1328.9	2192.2	P	P	P	P
AFFX-r2-Dros-GAPDH-3_at	486.4	423.3	353.3	372.1	P	P	P	P
AFFX-r2-Dros-Act5C-5_at	16936.3	13978.3	14145.3	11591.8	P	P	P	P
AFFX-r2-Dros-Act5C-5_x_at	17223	17680.3	14354	13871.6	P	P	P	P
AFFX-r2-Dros-Act5C-M_s_at	17299.2	17147.7	15895.2	12764.6	P	P	P	P
AFFX-r2-Dros-Act5C-3_s_at	22251.7	21811.6	20012.8	19477.2	P	P	P	P
AFFX-Dros-18S_rRNA_5_at	48.2	81.9	91.9	874.4	P	P	P	P
AFFX-Dros-18S_rRNA_M_at	666.2	156.3	1019.8	488	P	P	P	P
AFFX-Dros-18S_rRNA_3_at	1058.5	131.6	1316.9	272.2	P	P	P	P
AFFX-Dros-ACTIN_5_at	8722.7	10075.9	5556.6	5811.9	P	P	P	P
AFFX-Dros-ACTIN_M_r_at	8474.4	9622.3	5777.9	4804.3	P	P	P	P
AFFX-Dros-ACTIN_M_f_at	11620.9	12747.5	7821.6	8712.9	P	P	P	P
AFFX-Dros-ACTIN_3_at	9904.3	12305.6	6380	8525.3	P	P	P	P
AFFX-Dros-GAPDH_5_at	2680.7	2459.7	3686	4682.8	P	P	P	P
AFFX-Dros-GAPDH_M_at	4055.2	3716.9	5361.7	5041.2	P	P	P	P
AFFX-Dros-GAPDH_3_at	5882	3809.8	7521	6428.3	P	P	P	P
AFFX-Dros-eIF-4a_5_at	7758.2	7279.9	7517	6665.9	P	P	P	P
AFFX-Dros-eIF-4a_M_at	15022.4	14129.9	15004.3	13644.1	P	P	P	P
AFFX-Dros-eIF-4a_3_at	13978.1	17351.5	14670.6	19364.8	P	P	P	P
1633152_at	99.4	106.2	31.3	36.3	P	P	P	P
1634052_s_at	107.9	267.6	171.4	314.9	P	P	P	P
1622976_at	333.2	332.7	342.6	344.2	P	P	P	P
1631833_at	638.9	564	748.3	745.7	P	P	P	P
1640554_at	231.9	321.5	333	351.9	P	P	P	P
1630536_at	213.1	219.4	203.5	208.4	P	P	P	P
1639308_at	128.6	164.6	163.9	179.7	P	P	P	P
1631742_s_at	523.5	494.5	473.6	695.5	P	P	P	P
1638041_at	105.9	109.8	90.8	135.3	P	P	P	P
1627953_at	182.7	212.8	327.2	341.8	P	P	P	P
1636765_at	269.1	229	208.4	271.8	P	P	P	P
1626650_at	465.9	508.8	421.6	384.2	P	P	P	P
1638829_s_at	278	279.6	292.8	348.4	P	P	P	P
1625283_at	232.3	268.4	205	243.1	P	P	P	P
1634258_at	601.2	574.1	456.8	383.2	P	P	P	P
1624020_at	236.5	232.8	262.7	241.8	P	P	P	P
1632973_at	435.7	478.5	345.8	432.5	P	P	P	P
1631500_at	109.7	148.2	167.1	222.8	P	P	P	P
1640268_at	571.1	658.1	425.9	485.4	P	P	P	P
1628562_s_at	3314.9	2299	2363.7	2268.3	P	P	P	P
1639006_at	104.4	130	151	144.3	P	P	P	P
1628932_at	698.4	551.6	749	736	P	P	P	P
1637723_at	679.6	820.1	1055.9	1038	P	P	P	P
1627603_at	147.3	178.5	195.6	180.7	A	A	A	P
1636471_at	326.9	305.8	363.3	323.3	M	P	M	P
1628921_s_at	448.9	325	507.1	331.6	P	P	P	P
1626392_s_at	11846.1	14016.6	863.4	560	P	P	P	P
1625050_s_at	9396.9	9255.1	13984.5	16093.8	P	P	P	P
1629669_x_at	130.6	75.7	37.4	7.8	P	P	A	A
1641365_s_at	17590.3	20628.2	16766.6	18481.8	P	P	P	P
1640167_s_at	2065.1	2411.5	1926.7	2093.7	P	P	P	P
1628082_at	88.1	51.5	109.5	37.5	A	A	P	A
1637622_s_at	27.4	18.3	711.3	553.2	A	P	P	P
1633959_s_at	1713.1	1362	2741.1	2906.1	P	P	P	P
1632683_s_at	18721	20959.4	20160.2	23301.6	P	P	P	P
1625997_s_at	2748.3	2085	7496.1	6745.6	P	P	P	P
1633970_at	2.7	1.3	190.2	112.6	A	A	P	P
1641296_at	11.6	3.2	2.2	2.4	A	A	A	A
1626130_s_at	32.7	29.6	27.4	8.3	A	A	A	A
1624819_s_at	40.2	61	13.4	8.5	A	P	A	A
1623559_s_at	60	37.2	84.7	27.5	A	A	A	A
1624224_at	414.6	643.1	117.8	39.7	P	P	P	P
1630585_s_at	172.9	213.7	160.5	48.8	P	P	P	P
1625195_s_at	7010.8	8740.8	16196.3	20005	P	P	P	P
1641450_s_at	943.2	471.2	153.7	60.4	P	P	P	P
1628989_at	288.8	237.4	244.4	195.5	P	P	P	P
1635696_s_at	103.2	54.1	271	127.2	P	P	P	P
1639054_s_at	9514.7	7841.2	9631	10406.1	P	P	P	P
1637786_s_at	200.7	83.1	193.3	79.6	A	A	A	A
1630934_at	7807.4	3060.1	6776.5	1776.3	P	P	P	P
1631713_x_at	8.7	6.4	4.3	5.2	A	A	A	A
1624543_s_at	178.4	104.5	37.6	47.3	P	P	A	P
1638428_at	3187.3	5512.4	6507.5	9576	P	P	P	P
1629242_x_at	6835.5	8569.7	15130.9	15098.8	P	P	P	P
1640955_s_at	3023.2	3008.4	691.2	393.4	P	P	P	P
1639729_s_at	582.1	500.8	4656.3	5162.3	P	P	P	P
1638469_s_at	332.7	216	1011.2	455.4	P	P	P	P
1635886_s_at	6045.9	4552.1	8872.4	8027.4	P	P	P	P
1634666_at	165.4	66.4	130.2	44.4	P	P	P	A
1640448_x_at	122.1	79.8	90.9	13.9	P	P	P	A
1623960_s_at	914.2	1184.1	717.3	195.8	P	P	P	P
1640242_s_at	1444.1	1102.1	702.4	548	P	P	P	P
1626288_at	8.4	2.1	5.5	1.3	A	A	A	A
1624631_x_at	9.4	26.8	10.5	8.2	A	A	A	A
1623349_x_at	272.6	178.7	327.4	217.6	P	P	P	P
1635258_s_at	511.2	443.4	508.5	383	P	P	P	P
1633998_s_at	65.1	39.6	65.9	18.5	A	P	P	M
1630614_s_at	5996.1	6124.9	376.1	150.3	P	P	P	P
1631349_s_at	2	1.9	33	31.4	A	A	P	P
1628406_s_at	87.1	113.7	112.9	73.4	P	P	P	P
1634508_at	13.4	1.5	5.1	20.3	A	A	A	A
1637055_s_at	227.1	52.7	181.7	44.5	A	A	A	A
1635829_s_at	10.2	8	54.6	40.1	A	A	A	A
1634633_s_at	8.3	12.4	935.4	500.6	A	A	P	P
1631895_s_at	2.9	1.2	2.1	2.1	A	A	A	A
1627936_s_at	65.5	52.8	44.8	24	P	P	M	P
1640606_x_at	231.1	105.4	179.5	56.5	P	P	P	P
1632295_s_at	451.2	438.6	277.9	190.2	P	P	P	P
1630948_s_at	487.4	377.9	702	721.8	P	P	P	P
1629641_s_at	84.9	66.4	72.4	1.9	P	P	P	A
1634338_x_at	13.6	40.1	67.2	7.7	A	A	A	A
1635074_s_at	52	90	283.7	242.8	P	P	P	P
1625791_s_at	140.6	111.4	85.3	13.3	P	P	P	A
1630420_x_at	0.9	8.5	4.9	6.2	A	A	A	A
1632902_s_at	21.2	21.6	2.1	7.1	A	A	A	A
1637377_x_at	23.1	3.7	9.6	13.8	A	A	A	A
1630262_s_at	90.1	65.8	23.6	10.5	P	P	P	A
1627374_at	17.8	13.6	15.6	8.2	A	A	A	A
1635012_x_at	18.3	13.7	3.1	1.4	A	A	A	A
1626434_s_at	1545.8	1791.6	71.1	20.6	P	P	P	A
1635017_at	9.6	1.9	348.4	338.5	A	A	P	P
1623845_s_at	17.1	7.3	1.7	9.3	A	A	A	A
1641421_s_at	12.9	16.7	68.9	6.9	A	A	A	A
1627177_x_at	4.6	5.7	13.4	5.8	A	A	A	A
1634187_x_at	4690.9	5375.2	411.6	1465.8	P	P	P	P
1626966_s_at	2211.5	1745.2	2225.8	2481.4	P	P	P	P
1625649_s_at	117.3	31.7	43	13.4	P	P	P	A
1624377_s_at	29.6	86.5	15.7	12.2	P	P	A	A
1632924_at	16.2	7.4	14.5	6.2	A	A	A	A
1623158_s_at	1050.2	1437.1	1451.1	1763.6	P	P	P	P
1626453_x_at	113.4	104.8	76.5	43.6	P	P	A	P
1638228_s_at	4.5	3.3	6	3	A	A	A	A
1626205_s_at	132.1	58.7	161.2	94.8	A	A	P	P
1623159_at	53	38.7	35.6	7.5	P	P	P	A
1632126_at	5	5.3	4.1	3.5	A	A	A	A
1641210_s_at	58.7	21.8	99.4	28.2	P	P	P	P
1636015_s_at	10364.1	13372	49.6	48.6	P	P	P	P
1627940_at	19.6	13.4	4.1	0.6	A	A	A	A
1636749_at	31.7	23.8	12.9	16.8	P	A	A	A
1626133_s_at	891.9	921	19.9	19.1	P	P	A	A
AFFX-Dm-AF117335_at	41.4	3	25.2	6.1	A	A	A	A
AFFX-Dm-AF168390_at	52.5	19.8	63.6	8.2	A	A	A	A
AFFX-Dm-AF372915_at	9.7	7.8	6.3	2.9	A	A	A	A
AFFX-Dm-Y18469_at	55.6	27.2	34.8	15.8	P	A	A	A
AFFX-Dm-Z49777_at	4.5	2.8	4.9	14.4	A	A	A	A
AFFX-Dm-X64464_at	8.2	30.6	30.4	9.8	A	A	A	A
AFFX-Dm-AB007987_at	31.8	7.1	24.2	27.8	A	A	A	A
AFFX-Dm-M90509_at	6.6	3.8	5.7	16.8	A	A	A	A
AFFX-Dm-U74610_at	31.2	23.7	48.5	3.9	A	A	A	A
AFFX-Dm-ATU18126_at	5.1	13.7	30.7	13.6	A	A	A	A
AFFX-Dm-L22585_at	14.8	9.3	86.8	4.4	A	A	A	A
AFFX-Dm-O81842_at	8.8	3.4	27.8	13	A	A	A	A
AFFX-Dm-Q9LU32_at	12.5	5.2	7.1	4.4	A	A	A	A
AFFX-Dm-O04513_at	9.2	7.6	4.6	1.1	A	A	A	A
AFFX-Dm-O82258_at	50.8	26.5	8	12.4	A	A	A	A
AFFX-Dm-Q9LJQ4_at	1.5	2.7	0.8	0.6	A	A	A	A
AFFX-Dm-Q9XIB8_at	18	3.9	21	1.6	A	A	A	A
AFFX-Dm-O04600_at	32.5	1.6	28.7	2.1	A	A	A	A
AFFX-Dm-Q9LZJ2_at	17.6	11.6	14.9	54.6	A	A	A	A
AFFX-Dm-Q9LVF8_at	2.6	3.2	28.2	1.5	A	A	A	A
AFFX-Dm-O49366_at	18.2	13.9	9.7	4.1	A	A	A	A
AFFX-Dm-O65372_at	26.5	3	7.4	3.3	A	A	A	A
AFFX-Dm-O65524_at	4.2	3.4	1.6	2.6	A	A	A	A
AFFX-Dm-O81838_at	9.9	14.7	23.4	26.1	A	A	A	A
AFFX-Dm-O82296_at	34.1	20.9	21.5	2.4	A	A	A	A
AFFX-Dm-P33487_at	7.2	2.7	2.6	1.7	A	A	A	A
AFFX-Dm-Q39096_at	28.4	36.1	6.3	10	A	A	A	A
AFFX-Dm-Q9LEZ0_at	70.3	8.3	47.3	3.8	A	A	A	A
AFFX-Dm-Q9LFM9_at	46.7	28.3	50.4	14.2	A	P	A	A
AFFX-Dm-Q9LFR4_at	3.8	4.1	4.1	2.8	A	A	A	A
AFFX-Dm-Q9LIJ1_at	30.5	8.9	36.6	10	A	A	M	A
AFFX-Dm-Q9LK42_at	34	29.7	44.5	10.4	A	P	P	A
AFFX-Dm-Q9LK88_at	68.7	27.7	28.2	3.3	A	A	A	A
AFFX-Dm-Q9LMV5_at	42.3	10.1	18.6	9.1	A	A	A	A
AFFX-Dm-Q9LPD6_at	31.2	3.1	5.5	1.2	A	A	A	A
AFFX-Dm-Q9LPX0_at	59.5	27.5	43.6	16.3	A	A	A	A
AFFX-Dm-Q9LUK5_at	28.9	23.4	54.4	11.1	A	A	A	A
AFFX-Dm-Q9LV66_at	40.3	18.1	6.4	1.9	A	A	A	A
AFFX-Dm-Q9LVE8_at	4.9	1.7	4.1	1.5	A	A	A	A
AFFX-Dm-Q9LX75_at	40.1	12.8	44.6	16.1	A	A	A	A
AFFX-Dm-Q9LYV2_at	9.9	10.2	38	3.8	A	A	A	A
AFFX-Dm-Q9LZ37_at	6.5	4.1	33.6	1.7	A	A	A	A
AFFX-Dm-Q9M8R9_at	8.2	15.4	24.9	11.5	A	A	A	A
AFFX-Dm-Q9MA21_at	23.8	4.8	6.9	8.1	A	A	A	A
AFFX-Dm-Q9MA54_at	7.2	3.6	16	0.8	A	A	A	A
AFFX-Dm-Q9MAT8_at	7	13.2	14.7	11.6	A	A	A	A
AFFX-Dm-Q9S720_at	23.1	0.8	6.5	13.8	A	A	A	A
AFFX-Dm-Q9SD33_at	3.2	15.8	39.7	7.1	A	A	A	A
AFFX-Dm-Q9SFE5_at	21.5	18.3	5.2	4.2	A	A	A	A
AFFX-Dm-Q9SH12_at	3	1.9	14.2	0.9	A	A	A	A
AFFX-Dm-Q9SJB5_at	42	15.2	36.5	10.4	A	A	A	A
AFFX-Dm-Q9SJD3_at	36	19.9	63.2	2.8	A	A	A	A
AFFX-Dm-Q9SJD5_at	6.4	8.2	9	2.3	A	A	A	A
AFFX-Dm-Q9SNA1_at	11.2	3.2	8.5	3	A	A	A	A
AFFX-Dm-Q9SRZ9_at	36.5	21.2	27.7	11.2	A	A	A	A
AFFX-Dm-Q9SSL8_at	21.2	28.9	59.5	25.6	A	A	A	A
AFFX-Dm-Q9SX37_at	5.4	7.3	7.7	9.1	A	A	A	A
AFFX-Dm-Q9SZK9_at	20.1	20.2	15.8	8.7	A	A	A	A
AFFX-Dm-Q9SZL1_at	21.6	24	49.8	19	A	A	P	A
AFFX-Dm-Q9XFS8_at	31.3	2.6	34.5	21.6	A	A	A	A
AFFX-Dm-Q9ZVS6_at	8.1	7.8	8.9	8.5	A	A	A	A
1627519_at	93.3	9.8	29.9	31.3	A	A	A	A
1626852_at	4.3	2.1	5.8	5.7	A	A	A	A
1640869_x_at	3.8	1	11.2	4.1	A	A	A	A
1629334_at	46.5	38	39.7	8.5	A	A	A	A
1634993_at	3.7	3.1	197.4	179	A	A	P	P
1623461_at	26.6	9	32.3	33.6	A	A	A	A
1629549_s_at	2742.9	3510.5	4294	5899.7	P	P	P	P
1634469_at	92.5	40.1	259.6	116.3	P	P	P	P
1630610_at	1.9	1.8	4.8	2.2	A	A	A	A
1641383_s_at	65.7	76.1	14.5	34.6	A	P	A	A
1625287_at	356.6	240.5	165	291.7	P	P	P	P
1625862_x_at	412.3	304.9	231.5	308.3	P	P	P	P
1630514_at	1506.8	1397.4	913.5	1148.4	P	P	P	P
1638170_at	12.8	1.1	2.9	6.5	A	A	A	A
1623257_a_at	1439.5	1335.4	979.8	896.6	P	P	P	P
1634484_at	21.8	10.5	15	2.3	A	A	A	A
1638685_at	10415.8	10107.3	8883.7	8936.3	P	P	P	P
1634926_at	42.2	39.9	34.7	35.2	A	A	A	A
1633848_at	8	14.5	4.7	2.6	A	A	A	A
1633568_s_at	1063.9	1252.2	642.5	907.3	P	P	P	P
1633019_a_at	1618.9	2687	1162.9	2341.6	P	P	P	P
1626417_at	26.3	25.6	830.7	563.6	A	A	P	P
1632931_at	1666.5	1725.7	1506.5	2544.9	P	P	P	P
1634527_s_at	1706.4	1995.5	1537.2	2431	P	P	P	P
1631509_a_at	2225.7	2536.4	1639.4	1748.7	P	P	P	P
1629257_s_at	2420.2	2759.2	1151.3	1251.4	P	P	P	P
1640289_a_at	2615.4	3176.7	2706.1	4045.5	P	P	P	P
1638652_at	71.8	53.2	31	20.2	P	P	A	A
1627641_s_at	1204	1439.6	1013.9	1451.8	P	P	P	P
1629792_at	5226.4	7079.2	3790.9	7019	P	P	P	P
1626379_a_at	619.9	678.8	565.4	878.5	P	P	P	P
1631612_at	480.4	553.8	370.5	648.7	P	P	P	P
1631015_s_at	17795.3	20571.7	18252.8	19231.5	P	P	P	P
1629984_s_at	18381.6	21090.7	19689	21061.8	P	P	P	P
1638804_a_at	604.8	686.4	703.5	1085.9	P	P	P	P
1632946_at	617	431.4	1155.7	932.9	P	P	P	P
1635501_at	3874.5	4661.5	1785.7	1875.8	P	P	P	P
1625912_at	36.1	38.5	50.9	18.5	A	P	P	A
1627665_at	1947	2042.2	1257.2	1105.3	P	P	P	P
1628918_at	321.9	443.4	24.4	20.7	P	P	A	P
1623591_a_at	2226.2	2958.8	1474.5	1774.3	P	P	P	P
1639548_s_at	30.1	29.5	5.6	4.5	A	A	A	A
1627450_at	17.1	16.9	17.5	7.2	A	A	A	A
1625804_s_at	1481.7	1363.5	860.1	848.3	P	P	P	P
1640504_at	135.2	217.9	785.2	776.3	P	P	P	P
1630817_s_at	2170.1	2154.2	985.1	997.8	P	P	P	P
1640762_at	4995.6	6135.9	2113.3	2661.9	P	P	P	P
1640778_at	315.4	344.7	342.1	286.2	P	P	P	P
1632741_at	57.4	5.6	29.9	36.1	A	A	A	M
1637863_x_at	34.8	40.6	24.1	20.5	A	P	M	P
1638504_s_at	214.4	339.7	252.4	303.5	P	P	P	P
1636319_at	35.6	19.3	27.2	9	A	P	A	A
1635209_at	34.3	20	31.9	16.3	A	A	A	A
1639506_at	2	2.4	2.7	2.1	A	A	A	A
1639997_s_at	2798.6	2712.8	156.4	87.1	P	P	P	P
1623748_at	25.1	28	11.1	2.4	A	A	A	A
1624786_at	12.2	63.8	117.7	72.3	A	A	A	A
1633151_at	59.8	27.5	79.3	36.9	A	A	P	A
1638404_at	4.9	2.3	2.7	1.1	A	A	A	A
1630904_x_at	38.4	15.2	29.3	23.3	A	A	A	A
1637104_at	13.3	7.4	6.9	20.1	A	A	A	A
1623260_at	8.2	1.5	10.5	38.5	A	A	A	A
1624368_at	2	15.1	16.2	4.8	A	A	A	A
1623962_x_at	3.8	2.6	3.3	1.3	A	A	A	A
1639924_at	11.3	7.8	10.5	3.5	A	A	A	A
1628370_at	19.5	3	18.4	7.6	A	A	A	A
1636685_at	54.5	30.8	54.2	17.9	P	P	M	A
1629219_at	21	22.1	10.1	12.2	A	A	A	A
1633999_at	15	18.9	8.7	1.2	A	A	A	A
1633276_at	5.6	25.4	10.2	8	A	P	A	A
1632379_at	3	8.4	7.5	21.2	A	A	A	A
1640305_at	26.1	17.3	54.3	24.1	A	A	A	M
1630185_x_at	22	18.2	40	19.7	A	P	M	P
1630023_at	314	336.9	736	833	P	P	P	P
1629658_at	685.1	459.9	992.6	1019.8	P	P	P	P
1630419_a_at	22.2	10.8	7.9	3.4	A	A	A	A
1623427_at	126.3	48	113.4	27.2	A	A	A	A
1632317_at	29.2	59.6	217.2	54.2	A	P	P	P
1640196_at	1118.2	1013.6	24.9	8.9	P	P	A	A
1628479_at	63.5	5.8	35.2	12.8	P	A	A	A
1633448_at	541.5	406.6	684.7	525.8	P	P	P	P
1638419_at	10.3	46.6	6.8	2	A	A	A	A
1635488_at	76.8	25.5	54.2	6.1	A	A	A	A
1631181_a_at	89.2	107.6	164.2	174.7	M	P	P	P
1623696_at	405.7	376.7	5.3	3.7	P	P	A	A
1627791_at	62.6	39.9	78.3	36.7	A	A	A	A
1637632_at	29.1	31.8	36.7	10.7	A	P	P	A
1638908_at	13.2	25.4	25.2	20.4	A	A	A	A
1636248_at	3.4	11.7	15.5	7.3	A	A	A	A
1633622_at	523.4	543.8	999.7	1018.9	P	P	P	P
1632498_at	103.8	23.8	55.6	44	A	A	A	A
1626211_at	15.7	4.8	4.8	23.4	A	A	A	A
1626903_at	7.4	4.3	7.4	3.4	A	A	A	A
1630340_at	487	446.8	669.6	674.6	P	P	P	P
1623892_at	12.4	15.3	7.6	3.6	A	A	A	A
1629440_at	668.5	826.6	1129.6	1204	P	P	P	P
1640674_at	58.2	18	42.1	20.1	A	A	A	A
1639098_s_at	27	3	24.6	2.3	A	A	A	A
1638173_s_at	642.2	530.4	1508	1102.4	P	P	P	P
1624194_a_at	84.1	74.4	150.8	119.4	P	P	P	P
1641466_at	179.1	77.7	135	58.8	A	A	A	A
1635482_at	1925.4	1928.4	2037.9	2038.3	P	P	P	P
1627509_s_at	759.2	440.1	1285.9	101.3	P	P	P	P
1634295_at	61.8	26.4	29.7	21.4	M	A	A	A
1640942_at	4331.4	5079.2	45.2	13.9	P	P	A	A
1633686_at	117.6	98.8	78.6	79.5	P	P	A	P
1638365_at	70.5	66.2	69.1	39.7	A	A	A	A
1636654_s_at	1482	1083.5	1459.9	1545.1	P	P	P	P
1637351_at	46.7	21.2	5.1	10.5	A	A	A	A
1627704_a_at	248.1	113	103.6	126.8	P	P	P	P
1628693_at	2.7	1.5	1.3	2.2	A	A	A	A
1624256_at	21.1	74.6	41.5	23.5	A	A	A	A
1628516_at	316.6	525.4	299.3	664.5	P	P	P	P
1631699_at	240.4	223	301.7	284.5	P	P	P	P
1627938_at	163.9	139.4	287	186.2	A	P	P	P
1627900_at	446.7	595.9	607.1	819.7	P	P	P	P
1639415_at	52.9	18.8	9	2.7	A	A	A	A
1633150_a_at	46.4	32.7	36	14.2	P	A	A	A
1629559_s_at	149.7	79.6	120.6	96	P	P	P	P
1640052_at	12.6	15	49.4	6.5	A	A	A	A
1636207_at	155.7	124.8	224.6	223	P	P	P	P
1641556_a_at	1501.5	887.9	1393.7	1180.2	P	P	P	P
1625244_at	622.1	672.3	1022.3	1112.2	P	P	P	P
1632028_a_at	687.7	708.1	1716.6	1551.1	P	P	P	P
1633149_at	204.8	154.5	191.8	106.6	P	P	P	P
1624340_at	532.6	788.3	2007.1	1746.9	P	P	P	P
1639377_at	18643.4	19691.3	20204.4	19569.1	P	P	P	P
1627041_s_at	99.1	94.9	31.9	43.1	A	P	A	A
1637972_at	1036.7	1333.3	7.2	2.5	P	P	A	A
1630332_at	2324.2	1864.7	2226.4	1697.4	P	P	P	P
1633891_at	262.4	73.6	230.5	85.1	P	M	P	P
1625152_s_at	146.2	56.3	134	77.8	P	P	P	P
1636140_at	430.9	393.7	408.4	456.3	P	P	P	P
1629221_at	396.1	251.2	369.4	434.5	P	P	P	P
1625271_at	501.5	437.3	849.3	611.9	P	P	P	P
1628599_at	502.6	577.2	584.4	600.9	P	P	P	P
1629144_at	478.3	540.9	510.7	609	P	P	P	P
1640456_at	262.1	227.9	358.4	342.7	M	P	P	P
1636352_at	419.8	422.2	517.5	645.6	P	P	P	P
1633277_at	18083.7	17256.5	20559	16888.1	P	P	P	P
1631821_at	1427.2	1611.9	6.6	3.2	P	P	A	A
1641418_at	7.8	14	16.8	9.1	A	A	A	A
1641128_a_at	2.5	15.9	3	0.8	A	A	A	A
1639004_at	49.5	14.9	44.8	13.5	A	A	A	A
1637631_at	43.5	23.9	33.5	16	P	A	P	A
1636076_a_at	33.4	27.2	29.1	26.2	A	A	A	A
