Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
1638818_at	43.8	25.1	6.2	13.4	A	A	A	A
1629916_at	2808.5	2440.5	1859.8	1097.6	P	P	P	P
1634176_a_at	1663.6	1815.9	2203	1579	P	P	P	P
1627646_at	978	1078.8	1151.5	1054.3	P	P	P	P
1626003_s_at	20.1	35.8	32.2	22	A	P	A	P
1627427_s_at	52.5	8.6	25	19.8	A	A	A	A
1635100_at	49.6	59.7	102.2	27.5	A	A	P	A
1631278_a_at	316.6	269.5	501.5	511.1	P	P	P	P
1630824_a_at	1891.2	1868.4	1476.4	1687.3	P	P	P	P
1640300_at	261.9	232	239.4	215.6	P	P	P	P
